ranking_date,team,rank,ranking_points
2021-04-07,Colombia,15,1600.66
2021-04-07,Netherlands,16,1598.04
2021-04-07,Sweden,18,1569.81
2021-04-07,USA,20,1555.42
2021-04-07,Senegal,22,1542.45
2021-04-07,Austria,23,1523.42
2021-04-07,Tunisia,26,1512.88
2021-04-07,Japan,28,1509.34
2021-04-07,Türkiye,29,1505.05
2021-04-07,IR Iran,31,1499.52
2021-04-07,Algeria,33,1486.69
2021-04-07,Morocco,34,1479.32
2021-04-07,Paraguay,35,1476.02
2021-04-07,Korea Republic,39,1460.25
2021-04-07,Czechia,40,1458.81
2021-04-07,Australia,41,1457.49
2021-04-07,Norway,42,1452.34
2021-04-07,Scotland,44,1441.43
2021-04-07,Egypt,46,1432.63
2021-04-07,Ghana,49,1425.26
2021-04-07,Ecuador,53,1413.01
2021-04-07,Bosnia and Herzegovina,55,1404.87
2021-04-07,Qatar,58,1397.92
2021-04-07,Côte d'Ivoire,59,1397.77
2021-04-07,Congo DR,61,1376.65
2021-04-07,Saudi Arabia,65,1364.39
2021-04-07,Iraq,68,1352.82
2021-04-07,Canada,70,1340.56
2021-04-07,Cabo Verde,73,1330.16
2021-04-07,South Africa,75,1325.64
2021-04-07,Curaçao,76,1323.06
2021-04-07,Panama,78,1321.97
2021-04-07,Haiti,83,1290.62
2021-04-07,Uzbekistan,86,1280.99
2021-04-07,Jordan,95,1251.63
2021-04-07,New Zealand,122,1149.43
2021-05-27,Belgium,1,1783.38
2021-05-27,France,2,1757.3
2021-05-27,Brazil,3,1742.65
2021-05-27,England,4,1686.78
2021-05-27,Portugal,5,1666.12
2021-05-27,Spain,6,1648.13
2021-05-27,Argentina,8,1641.95
2021-05-27,Uruguay,9,1639.08
2021-05-27,Mexico,11,1629.56
2021-05-27,Germany,12,1609.12
2021-05-27,Switzerland,13,1606.21
2021-05-27,Croatia,14,1605.75
2021-05-27,Colombia,15,1600.66
2021-05-27,Netherlands,16,1598.04
2021-05-27,Sweden,18,1569.81
2021-05-27,USA,20,1555.42
2021-05-27,Senegal,22,1542.45
2021-05-27,Austria,23,1523.42
2021-05-27,Tunisia,26,1512.88
2021-05-27,Japan,28,1509.34
2021-05-27,Türkiye,29,1505.05
2021-05-27,IR Iran,31,1499.52
2021-05-27,Algeria,33,1486.69
2021-05-27,Morocco,34,1479.32
2021-05-27,Paraguay,35,1476.02
2021-05-27,Korea Republic,39,1460.25
2021-05-27,Czechia,40,1458.81
2021-05-27,Australia,41,1457.49
2021-05-27,Norway,42,1452.34
2021-05-27,Scotland,44,1441.43
2021-05-27,Egypt,46,1432.63
2021-05-27,Ghana,49,1425.26
2021-05-27,Ecuador,53,1413.01
2021-05-27,Bosnia and Herzegovina,55,1404.87
2021-05-27,Qatar,58,1397.92
2021-05-27,Côte d'Ivoire,59,1397.77
2021-05-27,Congo DR,61,1376.65
2021-05-27,Saudi Arabia,65,1364.39
2021-05-27,Iraq,68,1352.82
2021-05-27,Canada,70,1340.56
2021-05-27,Cabo Verde,73,1330.16
2021-05-27,South Africa,75,1325.64
2021-05-27,Curaçao,76,1323.06
2021-05-27,Panama,78,1321.97
2021-05-27,Haiti,83,1290.62
2021-05-27,Uzbekistan,86,1280.99
2021-05-27,Jordan,95,1251.63
2021-05-27,New Zealand,122,1149.43
2021-08-12,Belgium,1,1822.34
2021-08-12,Brazil,2,1797.67
2021-08-12,France,3,1761.77
2021-08-12,England,4,1752.83
2021-08-12,Argentina,6,1714.43
2021-08-12,Spain,7,1680.44
2021-08-12,Portugal,8,1661.51
2021-08-12,Mexico,9,1658.29
2021-08-12,USA,10,1647.75
2021-08-12,Netherlands,12,1637.48
2021-08-12,Uruguay,13,1634.63
2021-08-12,Switzerland,14,1621.37
2021-08-12,Colombia,15,1617.67
2021-08-12,Germany,16,1613.29
2021-08-12,Sweden,17,1606.79
2021-08-12,Croatia,18,1594.36
2021-08-12,Senegal,21,1545.38
2021-08-12,Austria,23,1535.12
2021-08-12,Japan,24,1529.45
2021-08-12,IR Iran,26,1522.04
2021-08-12,Tunisia,28,1515.3
2021-08-12,Algeria,30,1498.75
2021-08-12,Czechia,31,1492.65
2021-08-12,Morocco,32,1487.89
2021-08-12,Paraguay,33,1483.49
2021-08-12,Australia,35,1477.21
2021-08-12,Korea Republic,36,1474.96
2021-08-12,Türkiye,39,1463.91
2021-08-12,Qatar,42,1455.23
2021-08-12,Norway,43,1450.12
2021-08-12,Egypt,46,1432.63
2021-08-12,Scotland,49,1424.77
2021-08-12,Ghana,52,1420.61
2021-08-12,Ecuador,55,1405.26
2021-08-12,Côte d'Ivoire,57,1402.9
2021-08-12,Bosnia and Herzegovina,58,1401.57
2021-08-12,Canada,59,1399.35
2021-08-12,Saudi Arabia,61,1386.03
2021-08-12,Congo DR,65,1373.16
2021-08-12,Iraq,70,1354.51
2021-08-12,South Africa,73,1337.77
2021-08-12,Panama,74,1334.85
2021-08-12,Cabo Verde,77,1327.11
2021-08-12,Curaçao,78,1310.4
2021-08-12,Uzbekistan,83,1284.42
2021-08-12,Haiti,90,1268.38
2021-08-12,Jordan,95,1245.31
2021-08-12,New Zealand,119,1149.43
2021-09-16,Belgium,1,1832.33
2021-09-16,Brazil,2,1811.73
2021-09-16,England,3,1755.44
2021-09-16,France,4,1754.31
2021-09-16,Argentina,6,1725.31
2021-09-16,Portugal,7,1674.9
2021-09-16,Spain,8,1673.68
2021-09-16,Mexico,9,1666.19
2021-09-16,Netherlands,11,1648.2
2021-09-16,Uruguay,12,1645.42
2021-09-16,USA,13,1643.1
2021-09-16,Germany,14,1627.8
2021-09-16,Switzerland,15,1622.73
2021-09-16,Colombia,16,1618.4
2021-09-16,Croatia,17,1608.25
2021-09-16,Sweden,18,1606.03
2021-09-16,Senegal,20,1555.37
2021-09-16,IR Iran,22,1538.08
2021-09-16,Tunisia,25,1526.87
2021-09-16,Japan,26,1520.46
2021-09-16,Austria,29,1504.82
2021-09-16,Algeria,30,1498.62
2021-09-16,Czechia,31,1494.78
2021-09-16,Australia,32,1493.99
2021-09-16,Morocco,33,1493.23
2021-09-16,Paraguay,35,1484.31
2021-09-16,Korea Republic,36,1479.41
2021-09-16,Norway,39,1461.76
2021-09-16,Türkiye,41,1455.44
2021-09-16,Qatar,43,1445.83
2021-09-16,Scotland,45,1435.64
2021-09-16,Egypt,48,1434.62
2021-09-16,Canada,51,1416.23
2021-09-16,Ecuador,52,1415.09
2021-09-16,Ghana,53,1411.3
2021-09-16,Côte d'Ivoire,54,1410.56
2021-09-16,Saudi Arabia,56,1406.34
2021-09-16,Bosnia and Herzegovina,57,1405.3
2021-09-16,Congo DR,67,1365.17
2021-09-16,Panama,68,1358.77
2021-09-16,Iraq,72,1348.83
2021-09-16,South Africa,73,1348.6
2021-09-16,Cabo Verde,77,1314.19
2021-09-16,Curaçao,79,1310.4
2021-09-16,Uzbekistan,84,1282.27
2021-09-16,Haiti,87,1268.05
2021-09-16,Jordan,93,1245.64
2021-09-16,New Zealand,121,1149.43
2021-10-21,Belgium,1,1832.33
2021-10-21,Brazil,2,1820.36
2021-10-21,France,3,1779.24
2021-10-21,England,5,1750.16
2021-10-21,Argentina,6,1738.79
2021-10-21,Spain,7,1687.66
2021-10-21,Portugal,8,1681.73
2021-10-21,Mexico,9,1672.92
2021-10-21,Netherlands,11,1652.01
2021-10-21,Germany,12,1642.47
2021-10-21,USA,13,1639.42
2021-10-21,Switzerland,14,1633.8
2021-10-21,Uruguay,15,1625.67
2021-10-21,Colombia,16,1618.76
2021-10-21,Sweden,17,1618.69
2021-10-21,Croatia,18,1608.84
2021-10-21,Senegal,20,1564.95
2021-10-21,IR Iran,22,1545.02
2021-10-21,Tunisia,27,1525.3
2021-10-21,Japan,28,1517.69
2021-10-21,Morocco,29,1513.0
2021-10-21,Algeria,30,1509.04
2021-10-21,Czechia,31,1503.23
2021-10-21,Austria,32,1501.09
2021-10-21,Australia,34,1489.86
2021-10-21,Korea Republic,35,1489.1
2021-10-21,Norway,37,1471.62
2021-10-21,Paraguay,38,1461.28
2021-10-21,Türkiye,39,1460.53
2021-10-21,Scotland,42,1451.37
2021-10-21,Egypt,44,1447.85
2021-10-21,Qatar,46,1437.73
2021-10-21,Canada,48,1432.34
2021-10-21,Saudi Arabia,49,1432.21
2021-10-21,Ghana,52,1424.87
2021-10-21,Côte d'Ivoire,53,1424.12
2021-10-21,Ecuador,55,1416.93
2021-10-21,Bosnia and Herzegovina,56,1414.92
2021-10-21,South Africa,66,1361.97
2021-10-21,Congo DR,67,1357.61
2021-10-21,Panama,69,1354.42
2021-10-21,Iraq,72,1346.2
2021-10-21,Cabo Verde,76,1327.66
2021-10-21,Curaçao,81,1298.39
2021-10-21,Uzbekistan,84,1279.73
2021-10-21,Haiti,86,1268.05
2021-10-21,Jordan,90,1254.12
2021-10-21,New Zealand,111,1161.83
2021-11-19,Belgium,1,1828.45
2021-11-19,Brazil,2,1826.35
2021-11-19,France,3,1786.15
2021-11-19,England,4,1755.52
2021-11-19,Argentina,5,1750.51
2021-11-19,Spain,7,1704.75
2021-11-19,Portugal,8,1660.25
2021-11-19,Netherlands,10,1653.73
2021-11-19,Germany,11,1648.33
2021-11-19,USA,12,1647.14
2021-11-19,Switzerland,13,1642.83
2021-11-19,Mexico,14,1638.76
2021-11-19,Croatia,15,1620.74
2021-11-19,Colombia,16,1607.15
2021-11-19,Uruguay,17,1596.66
2021-11-19,Sweden,18,1588.26
2021-11-19,Senegal,20,1561.68
2021-11-19,IR Iran,21,1557.58
2021-11-19,Japan,26,1531.53
2021-11-19,Morocco,28,1525.5
2021-11-19,Tunisia,29,1512.13
2021-11-19,Austria,30,1511.56
2021-11-19,Czechia,31,1510.42
2021-11-19,Algeria,32,1508.54
2021-11-19,Korea Republic,33,1507.24
2021-11-19,Australia,35,1484.88
2021-11-19,Türkiye,37,1472.72
2021-11-19,Scotland,38,1471.82
2021-11-19,Canada,40,1462.32
2021-11-19,Norway,41,1455.43
2021-11-19,Paraguay,43,1454.52
2021-11-19,Egypt,45,1449.51
2021-11-19,Ecuador,46,1448.74
2021-11-19,Saudi Arabia,48,1441.17
2021-11-19,Qatar,51,1431.01
2021-11-19,Ghana,52,1428.97
2021-11-19,Côte d'Ivoire,56,1417.86
2021-11-19,Bosnia and Herzegovina,61,1392.56
2021-11-19,Panama,63,1379.34
2021-11-19,Congo DR,64,1375.64
2021-11-19,South Africa,68,1358.24
2021-11-19,Cabo Verde,73,1339.48
2021-11-19,Iraq,75,1335.58
2021-11-19,Curaçao,80,1298.39
2021-11-19,Uzbekistan,84,1274.58
2021-11-19,Haiti,87,1268.05
2021-11-19,Jordan,91,1252.95
2021-11-19,New Zealand,110,1165.81
2021-12-23,Belgium,1,1828.45
2021-12-23,Brazil,2,1826.35
2021-12-23,France,3,1786.15
2021-12-23,England,4,1755.52
2021-12-23,Argentina,5,1750.51
2021-12-23,Spain,7,1704.75
2021-12-23,Portugal,8,1660.25
2021-12-23,Netherlands,10,1653.73
2021-12-23,USA,11,1648.51
2021-12-23,Germany,12,1648.33
2021-12-23,Switzerland,13,1642.83
2021-12-23,Mexico,14,1638.3
2021-12-23,Croatia,15,1620.74
2021-12-23,Colombia,16,1607.15
2021-12-23,Uruguay,17,1596.66
2021-12-23,Sweden,18,1588.26
2021-12-23,Senegal,20,1561.68
2021-12-23,IR Iran,21,1557.58
2021-12-23,Japan,26,1531.53
2021-12-23,Morocco,28,1529.93
2021-12-23,Algeria,29,1516.51
2021-12-23,Tunisia,30,1512.72
2021-12-23,Austria,31,1511.56
2021-12-23,Czechia,32,1510.42
2021-12-23,Korea Republic,33,1507.24
2021-12-23,Australia,35,1484.88
2021-12-23,Türkiye,37,1472.72
2021-12-23,Scotland,38,1471.82
2021-12-23,Canada,40,1462.32
2021-12-23,Norway,41,1455.43
2021-12-23,Paraguay,43,1454.52
2021-12-23,Egypt,45,1451.77
2021-12-23,Ecuador,46,1448.27
2021-12-23,Qatar,48,1437.91
2021-12-23,Saudi Arabia,51,1434.71
2021-12-23,Ghana,52,1428.97
2021-12-23,Côte d'Ivoire,56,1417.86
2021-12-23,Bosnia and Herzegovina,61,1391.19
2021-12-23,Panama,63,1379.34
2021-12-23,Congo DR,64,1375.64
2021-12-23,South Africa,68,1358.24
2021-12-23,Cabo Verde,73,1339.48
2021-12-23,Iraq,75,1333.03
2021-12-23,Curaçao,80,1298.39
2021-12-23,Uzbekistan,84,1274.58
2021-12-23,Haiti,87,1268.05
2021-12-23,Jordan,90,1255.69
2021-12-23,New Zealand,110,1165.81
2022-02-10,Belgium,1,1828.45
2022-02-10,Brazil,2,1823.42
2022-02-10,France,3,1786.15
2022-02-10,Argentina,4,1766.99
2022-02-10,England,5,1755.52
2022-02-10,Spain,7,1704.75
2022-02-10,Portugal,8,1660.25
2022-02-10,Netherlands,10,1653.73
2022-02-10,Germany,11,1648.33
2022-02-10,Mexico,12,1647.9
2022-02-10,USA,13,1643.34
2022-02-10,Switzerland,14,1642.83
2022-02-10,Croatia,15,1620.74
2022-02-10,Uruguay,16,1614.05
2022-02-10,Sweden,17,1588.26
2022-02-10,Senegal,18,1587.78
2022-02-10,Colombia,19,1585.89
2022-02-10,IR Iran,21,1572.89
2022-02-10,Japan,23,1549.82
2022-02-10,Morocco,24,1547.42
2022-02-10,Korea Republic,29,1522.85
2022-02-10,Austria,30,1511.56
2022-02-10,Czechia,31,1510.42
2022-02-10,Canada,33,1497.82
2022-02-10,Egypt,34,1497.05
2022-02-10,Tunisia,36,1489.92
2022-02-10,Australia,37,1486.86
2022-02-10,Türkiye,39,1472.72
2022-02-10,Scotland,40,1471.82
2022-02-10,Algeria,43,1460.93
2022-02-10,Ecuador,44,1458.63
2022-02-10,Norway,45,1455.43
2022-02-10,Paraguay,50,1440.53
2022-02-10,Côte d'Ivoire,51,1439.62
2022-02-10,Qatar,52,1437.91
2022-02-10,Saudi Arabia,53,1433.95
2022-02-10,Bosnia and Herzegovina,59,1391.19
2022-02-10,Ghana,61,1381.45
2022-02-10,Panama,63,1375.56
2022-02-10,Congo DR,66,1369.53
2022-02-10,South Africa,68,1358.24
2022-02-10,Cabo Verde,73,1336.88
2022-02-10,Iraq,74,1325.44
2022-02-10,Curaçao,80,1298.39
2022-02-10,Uzbekistan,85,1277.02
2022-02-10,Haiti,87,1268.05
2022-02-10,Jordan,90,1259.84
2022-02-10,New Zealand,111,1161.66
2022-03-31,Brazil,1,1832.69
2022-03-31,Belgium,2,1827.0
2022-03-31,France,3,1789.85
2022-03-31,Argentina,4,1765.13
2022-03-31,England,5,1761.71
2022-03-31,Spain,7,1709.19
2022-03-31,Portugal,8,1674.78
2022-03-31,Mexico,9,1658.82
2022-03-31,Netherlands,10,1658.66
2022-03-31,Germany,12,1650.53
2022-03-31,Uruguay,13,1635.73
2022-03-31,Switzerland,14,1635.32
2022-03-31,USA,15,1633.72
2022-03-31,Croatia,16,1621.11
2022-03-31,Colombia,17,1600.52
2022-03-31,Sweden,19,1584.77
2022-03-31,Senegal,20,1584.16
2022-03-31,IR Iran,21,1564.49
2022-03-31,Japan,23,1553.44
2022-03-31,Morocco,24,1551.88
2022-03-31,Korea Republic,29,1519.54
2022-03-31,Egypt,32,1500.67
2022-03-31,Czechia,33,1500.62
2022-03-31,Austria,34,1500.37
2022-03-31,Tunisia,35,1499.8
2022-03-31,Canada,38,1479.0
2022-03-31,Scotland,39,1472.66
2022-03-31,Norway,41,1463.5
2022-03-31,Australia,42,1462.29
2022-03-31,Türkiye,43,1461.81
2022-03-31,Algeria,44,1461.26
2022-03-31,Ecuador,46,1452.63
2022-03-31,Saudi Arabia,49,1444.69
2022-03-31,Paraguay,50,1443.3
2022-03-31,Qatar,51,1441.41
2022-03-31,Côte d'Ivoire,53,1435.28
2022-03-31,Bosnia and Herzegovina,59,1388.63
2022-03-31,Ghana,60,1387.36
2022-03-31,Panama,61,1382.79
2022-03-31,Congo DR,67,1365.07
2022-03-31,South Africa,69,1356.01
2022-03-31,Cabo Verde,71,1339.5
2022-03-31,Iraq,72,1338.91
2022-03-31,Curaçao,79,1298.39
2022-03-31,Uzbekistan,83,1286.55
2022-03-31,Haiti,90,1261.86
2022-03-31,Jordan,91,1259.84
2022-03-31,New Zealand,101,1206.07
2022-06-23,Brazil,1,1837.56
2022-06-23,Belgium,2,1821.92
2022-06-23,Argentina,3,1770.65
2022-06-23,France,4,1764.85
2022-06-23,England,5,1737.46
2022-06-23,Spain,6,1716.93
2022-06-23,Netherlands,8,1679.41
2022-06-23,Portugal,9,1678.65
2022-06-23,Germany,11,1658.96
2022-06-23,Mexico,12,1649.57
2022-06-23,Uruguay,13,1643.71
2022-06-23,USA,14,1635.01
2022-06-23,Croatia,15,1632.15
2022-06-23,Switzerland,16,1621.43
2022-06-23,Colombia,17,1604.07
2022-06-23,Senegal,18,1593.45
2022-06-23,Sweden,20,1563.44
2022-06-23,Morocco,22,1558.9
2022-06-23,IR Iran,23,1558.64
2022-06-23,Japan,24,1552.77
2022-06-23,Korea Republic,28,1526.2
2022-06-23,Tunisia,30,1507.86
2022-06-23,Czechia,32,1502.9
2022-06-23,Austria,33,1502.47
2022-06-23,Norway,36,1488.57
2022-06-23,Australia,39,1483.73
2022-06-23,Egypt,40,1482.63
2022-06-23,Algeria,41,1480.59
2022-06-23,Türkiye,42,1475.13
2022-06-23,Canada,43,1473.82
2022-06-23,Ecuador,44,1463.74
2022-06-23,Scotland,45,1462.96
2022-06-23,Qatar,49,1441.41
2022-06-23,Paraguay,50,1440.13
2022-06-23,Côte d'Ivoire,52,1435.91
2022-06-23,Saudi Arabia,53,1435.74
2022-06-23,Bosnia and Herzegovina,57,1403.98
2022-06-23,Ghana,60,1389.68
2022-06-23,Panama,61,1386.51
2022-06-23,South Africa,68,1347.91
2022-06-23,Iraq,70,1338.91
2022-06-23,Cabo Verde,72,1332.96
2022-06-23,Congo DR,73,1332.84
2022-06-23,Uzbekistan,77,1306.63
2022-06-23,Curaçao,84,1293.35
2022-06-23,Jordan,86,1279.74
2022-06-23,Haiti,87,1269.07
2022-06-23,New Zealand,103,1198.96
2022-08-25,Brazil,1,1837.56
2022-08-25,Belgium,2,1821.92
2022-08-25,Argentina,3,1770.65
2022-08-25,France,4,1764.85
2022-08-25,England,5,1737.46
2022-08-25,Spain,6,1716.93
2022-08-25,Netherlands,8,1679.41
2022-08-25,Portugal,9,1678.65
2022-08-25,Germany,11,1658.96
2022-08-25,Mexico,12,1649.57
2022-08-25,Uruguay,13,1640.95
2022-08-25,USA,14,1635.01
2022-08-25,Croatia,15,1632.15
2022-08-25,Switzerland,16,1621.43
2022-08-25,Colombia,17,1604.07
2022-08-25,Senegal,18,1584.59
2022-08-25,Sweden,20,1563.44
2022-08-25,IR Iran,22,1558.64
2022-08-25,Morocco,23,1558.35
2022-08-25,Japan,24,1554.69
2022-08-25,Korea Republic,28,1526.02
2022-08-25,Tunisia,30,1507.86
2022-08-25,Czechia,32,1502.9
2022-08-25,Austria,33,1502.47
2022-08-25,Norway,36,1488.57
2022-08-25,Australia,39,1483.73
2022-08-25,Egypt,40,1482.63
2022-08-25,Algeria,41,1480.59
2022-08-25,Türkiye,42,1475.13
2022-08-25,Canada,43,1473.82
2022-08-25,Ecuador,44,1463.74
2022-08-25,Scotland,45,1462.96
2022-08-25,Qatar,48,1441.97
2022-08-25,Paraguay,50,1440.13
2022-08-25,Côte d'Ivoire,52,1435.91
2022-08-25,Saudi Arabia,53,1435.74
2022-08-25,Bosnia and Herzegovina,57,1403.98
2022-08-25,Ghana,60,1393.47
2022-08-25,Panama,61,1389.27
2022-08-25,South Africa,68,1350.55
2022-08-25,Iraq,70,1338.91
2022-08-25,Congo DR,72,1332.84
2022-08-25,Cabo Verde,73,1331.46
2022-08-25,Uzbekistan,77,1306.63
2022-08-25,Curaçao,84,1293.35
2022-08-25,Jordan,86,1279.74
2022-08-25,Haiti,88,1269.07
2022-08-25,New Zealand,103,1198.96
2022-10-06,Brazil,1,1841.3
2022-10-06,Belgium,2,1816.71
2022-10-06,Argentina,3,1773.88
2022-10-06,France,4,1759.78
2022-10-06,England,5,1728.47
2022-10-06,Spain,7,1715.22
2022-10-06,Netherlands,8,1694.51
2022-10-06,Portugal,9,1676.56
2022-10-06,Germany,11,1650.21
2022-10-06,Croatia,12,1645.64
2022-10-06,Mexico,13,1644.89
2022-10-06,Uruguay,14,1638.71
2022-10-06,Switzerland,15,1635.92
2022-10-06,USA,16,1627.48
2022-10-06,Colombia,17,1611.04
2022-10-06,Senegal,18,1584.38
2022-10-06,IR Iran,20,1564.61
2022-10-06,Morocco,22,1563.5
2022-10-06,Japan,24,1559.54
2022-10-06,Sweden,25,1553.33
2022-10-06,Korea Republic,28,1530.3
2022-10-06,Tunisia,30,1507.54
2022-10-06,Austria,34,1492.95
2022-10-06,Czechia,35,1492.21
2022-10-06,Algeria,37,1489.1
2022-10-06,Australia,38,1488.72
2022-10-06,Egypt,39,1486.44
2022-10-06,Scotland,40,1479.53
2022-10-06,Canada,41,1475.0
2022-10-06,Norway,42,1473.04
2022-10-06,Ecuador,44,1464.39
2022-10-06,Türkiye,45,1460.14
2022-10-06,Paraguay,47,1448.77
2022-10-06,Côte d'Ivoire,48,1443.06
2022-10-06,Qatar,50,1439.89
2022-10-06,Saudi Arabia,51,1437.78
2022-10-06,Bosnia and Herzegovina,58,1403.51
2022-10-06,Panama,60,1393.28
2022-10-06,Ghana,61,1393.0
2022-10-06,South Africa,67,1349.59
2022-10-06,Iraq,68,1343.01
2022-10-06,Cabo Verde,71,1336.05
2022-10-06,Congo DR,73,1333.92
2022-10-06,Uzbekistan,77,1309.98
2022-10-06,Jordan,84,1289.99
2022-10-06,Curaçao,86,1278.64
2022-10-06,Haiti,87,1269.07
2022-10-06,New Zealand,105,1193.98
2022-12-22,Brazil,1,1840.77
2022-12-22,Argentina,2,1838.38
2022-12-22,France,3,1823.39
2022-12-22,Belgium,4,1781.3
2022-12-22,England,5,1774.19
2022-12-22,Netherlands,6,1740.92
2022-12-22,Croatia,7,1727.62
2022-12-22,Portugal,9,1702.54
2022-12-22,Spain,10,1692.71
2022-12-22,Morocco,11,1672.35
2022-12-22,Switzerland,12,1655.02
2022-12-22,USA,13,1652.74
2022-12-22,Germany,14,1646.91
2022-12-22,Mexico,15,1635.78
2022-12-22,Uruguay,16,1627.45
2022-12-22,Colombia,17,1612.78
2022-12-22,Senegal,19,1603.98
2022-12-22,Japan,20,1593.08
2022-12-22,Sweden,23,1558.45
2022-12-22,IR Iran,24,1551.73
2022-12-22,Korea Republic,25,1539.49
2022-12-22,Australia,27,1533.97
2022-12-22,Tunisia,30,1526.2
2022-12-22,Austria,34,1497.24
2022-12-22,Czechia,38,1490.61
2022-12-22,Egypt,39,1490.34
2022-12-22,Algeria,40,1486.72
2022-12-22,Ecuador,41,1477.32
2022-12-22,Scotland,42,1476.94
2022-12-22,Norway,43,1475.05
2022-12-22,Türkiye,44,1465.38
2022-12-22,Paraguay,46,1445.06
2022-12-22,Côte d'Ivoire,47,1441.49
2022-12-22,Saudi Arabia,49,1438.13
2022-12-22,Canada,53,1431.64
2022-12-22,Bosnia and Herzegovina,57,1403.51
2022-12-22,Ghana,58,1400.02
2022-12-22,Qatar,60,1393.56
2022-12-22,Panama,61,1391.7
2022-12-22,South Africa,67,1350.36
2022-12-22,Iraq,68,1342.39
2022-12-22,Cabo Verde,72,1336.05
2022-12-22,Congo DR,73,1333.92
2022-12-22,Uzbekistan,77,1312.64
2022-12-22,Jordan,84,1289.99
2022-12-22,Curaçao,86,1278.64
2022-12-22,Haiti,87,1269.07
2022-12-22,New Zealand,105,1193.98
2023-04-06,Argentina,1,1840.93
2023-04-06,France,2,1838.45
2023-04-06,Brazil,3,1834.21
2023-04-06,Belgium,4,1792.53
2023-04-06,England,5,1792.43
2023-04-06,Netherlands,6,1731.23
2023-04-06,Croatia,7,1730.02
2023-04-06,Portugal,9,1707.22
2023-04-06,Spain,10,1682.85
2023-04-06,Morocco,11,1677.79
2023-04-06,Switzerland,12,1664.24
2023-04-06,USA,13,1653.77
2023-04-06,Germany,14,1647.42
2023-04-06,Mexico,15,1631.87
2023-04-06,Uruguay,16,1631.29
2023-04-06,Colombia,17,1617.08
2023-04-06,Senegal,18,1613.21
2023-04-06,Japan,20,1588.59
2023-04-06,Sweden,22,1558.7
2023-04-06,IR Iran,24,1553.23
2023-04-06,Korea Republic,27,1536.01
2023-04-06,Tunisia,28,1535.76
2023-04-06,Australia,29,1532.79
2023-04-06,Austria,32,1508.24
2023-04-06,Algeria,34,1504.19
2023-04-06,Egypt,35,1500.67
2023-04-06,Scotland,36,1500.52
2023-04-06,Czechia,38,1495.04
2023-04-06,Ecuador,41,1478.13
2023-04-06,Türkiye,43,1465.7
2023-04-06,Norway,44,1463.77
2023-04-06,Côte d'Ivoire,45,1449.95
2023-04-06,Canada,47,1442.66
2023-04-06,Paraguay,48,1440.65
2023-04-06,Saudi Arabia,54,1421.46
2023-04-06,Bosnia and Herzegovina,57,1403.04
2023-04-06,Panama,58,1399.23
2023-04-06,Ghana,60,1396.01
2023-04-06,Qatar,61,1388.61
2023-04-06,South Africa,66,1350.08
2023-04-06,Iraq,67,1347.84
2023-04-06,Congo DR,70,1338.61
2023-04-06,Cabo Verde,71,1337.05
2023-04-06,Uzbekistan,74,1318.36
2023-04-06,Jordan,84,1293.26
2023-04-06,Haiti,87,1275.96
